item_pk,item_id,report_pk,employee_id,report_id,employee_id-2,expense_type_name,expense_category_name,expense_category_code,bill_number,bill_date,bill_amount,bill_currency_id,overridden_amount,mileage_unit,mileage_quantity,mileage_rate_per_unit,mileage_original_rate_per_unit,mileage_overridden_quantity,item_status,report_status,auto_approved,approval_date,rejection_date,policy_id,rule_id,limit_per_claim,limit_per_day,limit_per_month,limit_per_quarter,limit_per_year,allow_beyond_limit,frequency_per_day,frequency_per_month,frequency_per_quarter,frequency_per_year,allow_beyond_frequency,configured_reviewer_chain,configured_reviewer_count,remark_count,last_workflow_action,is_duplicate_flagged,duplicate_match_count,override_count,item_created_on,item_updated_on,submission_date
501,TRVL-501,501,1000,EXP-501,1000,Local Cab,Travel,TRVL,612871,2025-01-10,429.85,1,,,,,,,Paid,PAID,False,2025-01-15 02:23:34.788549419,,62c4a2b2-ccb5-5de3-989e-e5c92c7c7a98,78e717ca-0c7b-24cd-b893-b45dbbc348cb,60000,,120000,,,True,,10,,,True,Manager > Manager's Manager > Admin,3,1,ACCEPT,False,0,0,2025-01-10 00:23:45.155443379,2025-01-15 02:23:34.788549419,2025-01-11 00:00:00.000000000
502,TRVL-502,502,1000,EXP-502,1000,Local Cab,Travel,TRVL,INV-44399,2025-01-23,453.42,1,,,,,,,Accepted,ACCEPTED,False,2025-02-02 00:33:31.171859577,,62c4a2b2-ccb5-5de3-989e-e5c92c7c7a98,78e717ca-0c7b-24cd-b893-b45dbbc348cb,60000,,120000,,,True,,10,,,True,Manager > Manager's Manager > Admin,3,2,ACCEPT,False,0,0,2025-01-24 16:21:16.889040507,2025-02-02 00:33:31.171859577,2025-01-25 19:25:28.974583049
503,TRVL-503,504,1000,EXP-504,1000,Local Cab,Travel,TRVL,136615,2025-02-02,510.83,1,,,,,,,Accepted,ACCEPTED,False,2025-02-15 13:51:56.053490633,,62c4a2b2-ccb5-5de3-989e-e5c92c7c7a98,78e717ca-0c7b-24cd-b893-b45dbbc348cb,60000,,120000,,,True,,10,,,True,Manager > Manager's Manager > Admin,3,2,ACCEPT,False,0,0,2025-02-06 22:19:19.229317380,2025-02-15 13:51:56.053490633,2025-02-08 10:45:39.053885359
504,TRVL-504,505,1000,EXP-505,1000,Local Cab,Travel,TRVL,,2025-02-18,519.0,1,,,,,,,Accepted,ACCEPTED,False,2025-02-27 21:25:04.644243021,,62c4a2b2-ccb5-5de3-989e-e5c92c7c7a98,78e717ca-0c7b-24cd-b893-b45dbbc348cb,60000,,120000,,,True,,10,,,True,Manager > Manager's Manager > Admin,3,1,ACCEPT,False,0,0,2025-02-21 13:38:40.556456171,2025-02-27 21:25:04.644243021,2025-02-22 05:28:27.504091761
505,TRVL-505,507,1000,EXP-507,1000,Local Cab,Travel,TRVL,,2025-03-08,504.31,1,,,,,,,Accepted,ACCEPTED,False,2025-03-17 01:55:05.283676504,,62c4a2b2-ccb5-5de3-989e-e5c92c7c7a98,78e717ca-0c7b-24cd-b893-b45dbbc348cb,60000,,120000,,,True,,10,,,True,Manager > Manager's Manager > Admin,3,2,ACCEPT,False,0,0,2025-03-10 07:22:00.114528868,2025-03-17 01:55:05.283676504,2025-03-10 16:38:08.918342537
506,TRVL-506,508,1000,EXP-508,1000,Local Cab,Travel,TRVL,987607,2025-03-20,518.53,1,,,,,,,Paid,PAID,False,2025-03-28 22:45:18.280754660,,62c4a2b2-ccb5-5de3-989e-e5c92c7c7a98,78e717ca-0c7b-24cd-b893-b45dbbc348cb,60000,,120000,,,True,,10,,,True,Manager > Manager's Manager > Admin,3,1,ACCEPT,False,0,0,2025-03-24 12:00:31.440612164,2025-03-28 22:45:18.280754660,2025-03-24 13:05:34.658228975
507,TRVL-507,510,1000,EXP-510,1000,Local Cab,Travel,TRVL,INV-36738,2025-03-31,510.54,1,,,,,,,Accepted,ACCEPTED,False,2025-04-13 16:45:38.070372700,,62c4a2b2-ccb5-5de3-989e-e5c92c7c7a98,78e717ca-0c7b-24cd-b893-b45dbbc348cb,60000,,120000,,,True,,10,,,True,Manager > Manager's Manager > Admin,3,2,ACCEPT,False,0,0,2025-04-03 11:09:11.512587892,2025-04-13 16:45:38.070372700,2025-04-03 20:38:42.980192920
508,TRVL-508,511,1000,EXP-511,1000,Local Cab,Travel,TRVL,,2025-04-17,566.72,1,,,,,,,Accepted,ACCEPTED,False,2025-04-23 19:50:31.886247495,,62c4a2b2-ccb5-5de3-989e-e5c92c7c7a98,78e717ca-0c7b-24cd-b893-b45dbbc348cb,60000,,120000,,,True,,10,,,True,Manager > Manager's Manager > Admin,3,1,ACCEPT,False,0,0,2025-04-19 00:44:18.438147795,2025-04-23 19:50:31.886247495,2025-04-19 04:10:56.189365508
509,TRVL-509,513,1000,EXP-513,1000,Local Cab,Travel,TRVL,257003,2025-04-29,579.66,1,,,,,,,Paid,PAID,False,2025-05-09 10:51:50.283826546,,62c4a2b2-ccb5-5de3-989e-e5c92c7c7a98,78e717ca-0c7b-24cd-b893-b45dbbc348cb,60000,,120000,,,True,,10,,,True,Manager > Manager's Manager > Admin,3,0,ACCEPT,False,0,0,2025-05-04 10:13:31.316819447,2025-05-09 10:51:50.283826546,2025-05-05 06:56:31.854355758
510,TRVL-510,514,1000,EXP-514,1000,Local Cab,Travel,TRVL,,2025-05-20,532.77,1,,,,,,,Paid,PAID,False,2025-05-28 10:29:26.325081941,,62c4a2b2-ccb5-5de3-989e-e5c92c7c7a98,78e717ca-0c7b-24cd-b893-b45dbbc348cb,60000,,120000,,,True,,10,,,True,Manager > Manager's Manager > Admin,3,2,ACCEPT,False,0,0,2025-05-19 13:46:23.768861966,2025-05-28 10:29:26.325081941,2025-05-20 22:17:56.272624856
