item_pk,item_id,report_pk,employee_id,report_id,expense_type_id,expense_category_code,bill_number,bill_date,bill_amount,bill_currency_id,overridden_amount,mileage_unit,mileage_quantity,mileage_rate_per_unit,mileage_original_rate_per_unit,mileage_overridden_quantity,item_status,report_status,auto_approved,approval_date,rejection_date,policy_id,rule_id,limit_per_claim,limit_per_day,limit_per_month,limit_per_quarter,limit_per_year,allow_beyond_limit,frequency_per_day,frequency_per_month,frequency_per_quarter,frequency_per_year,allow_beyond_frequency,configured_reviewer_chain,configured_reviewer_count,remark_count,last_workflow_action,is_duplicate_flagged,duplicate_match_count,override_count,item_created_on,item_updated_on,submission_date
501,MED-501,501,1000,EXP-501,14,MED,758887,2025-03-14,718.7,1,,,,,,,Accepted,ACCEPTED,False,2025-04-02 22:00:09.346524675,,67ebaa02-9192-af16-3fb4-669909f72b1d,57678261-3303-de65-a753-ea14f92c2bc5,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,0,ACCEPT,False,0,0,2025-03-23 16:24:57.878169746,2025-04-02 22:00:09.346524675,2025-03-25 00:00:00.000000000
502,MED-502,503,1000,EXP-503,14,MED,,2025-05-28,1082.73,1,,,,,,,Paid,PAID,False,2025-06-08 01:08:03.487203408,,67ebaa02-9192-af16-3fb4-669909f72b1d,57678261-3303-de65-a753-ea14f92c2bc5,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,1,ACCEPT,False,0,0,2025-05-31 21:42:03.126765249,2025-06-08 01:08:03.487203408,2025-06-01 21:24:14.063646728
503,MED-503,504,1000,EXP-504,14,MED,,2025-09-23,617.49,1,,,,,,,Accepted,ACCEPTED,False,2025-10-05 15:12:41.838654546,,67ebaa02-9192-af16-3fb4-669909f72b1d,57678261-3303-de65-a753-ea14f92c2bc5,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,1,ACCEPT,False,0,0,2025-09-30 15:29:53.312090488,2025-10-05 15:12:41.838654546,2025-09-30 20:28:01.119241092
504,MED-504,505,1000,EXP-505,14,MED,661532,2025-10-21,1526.18,1,,,,,,,Paid,PAID,False,2025-11-05 02:22:00.985121187,,67ebaa02-9192-af16-3fb4-669909f72b1d,57678261-3303-de65-a753-ea14f92c2bc5,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,2,ACCEPT,False,0,0,2025-10-28 16:07:46.778802573,2025-11-05 02:22:00.985121187,2025-10-29 07:35:41.442790015
505,MED-505,507,1000,EXP-507,14,MED,INV-62174,2026-01-05,239.49,1,,,,,,,Accepted,ACCEPTED,True,2026-01-18 17:46:58.704238802,,67ebaa02-9192-af16-3fb4-669909f72b1d,57678261-3303-de65-a753-ea14f92c2bc5,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,0,,False,0,0,2026-01-11 01:42:01.103387839,2026-01-18 17:46:58.704238802,2026-01-11 20:06:15.388871012
506,MED-506,508,1000,EXP-508,14,MED,984189,2026-02-09,454.4,1,,,,,,,Accepted,ACCEPTED,False,2026-02-25 03:09:18.215468889,,67ebaa02-9192-af16-3fb4-669909f72b1d,57678261-3303-de65-a753-ea14f92c2bc5,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,1,ACCEPT,False,0,0,2026-02-17 22:00:43.487315582,2026-02-25 03:09:18.215468889,2026-02-18 02:16:08.842622340
507,MED-507,510,1000,EXP-510,14,MED,INV-58502,2026-06-04,800.1,1,,,,,,,Accepted,ACCEPTED,False,2026-06-18 03:50:11.389493896,,67ebaa02-9192-af16-3fb4-669909f72b1d,57678261-3303-de65-a753-ea14f92c2bc5,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,2,ACCEPT,False,0,0,2026-06-12 22:42:32.777736175,2026-06-18 03:50:11.389493896,2026-06-12 23:45:07.877957372
508,TRVL-508,506,1000,EXP-506,7,TRVL,249761,2025-11-12,8248.69,1,,,,,,,Rejected,REJECTED,False,,2025-11-20 00:24:14.763283004,d1730067-45c8-7175-4b11-6b3d3f2e3e0f,c27041ae-9171-70a7-491e-2142bb9af5b5,60000,,120000,,,True,,10,,,True,Manager > Manager's Manager > Admin,3,2,REJECT,False,0,0,2025-11-16 05:36:15.677732486,2025-11-20 00:24:14.763283004,2025-11-17 00:00:00.000000000
509,MED-509,502,1000,EXP-502,15,MED,587672,2025-04-16,42465.45,1,,,,,,,Paid,PAID,False,2025-04-28 23:43:15.538104435,,67ebaa02-9192-af16-3fb4-669909f72b1d,57678261-3303-de65-a753-ea14f92c2bc5,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,0,ACCEPT,False,0,0,2025-04-21 04:15:46.412599089,2025-04-28 23:43:15.538104435,2025-04-22 00:00:00.000000000
510,MED-510,509,1000,EXP-509,15,MED,INV-90582,2026-05-26,54117.21,1,,,,,,,Paid,PAID,False,2026-06-04 13:44:01.273091104,,67ebaa02-9192-af16-3fb4-669909f72b1d,57678261-3303-de65-a753-ea14f92c2bc5,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,1,ACCEPT,False,0,0,2026-05-29 05:03:05.550057345,2026-06-04 13:44:01.273091104,2026-05-30 11:01:19.741712248
