item_pk,item_id,report_pk,employee_id,report_id,expense_type_id,expense_category_code,bill_number,bill_date,bill_amount,bill_currency_id,overridden_amount,mileage_unit,mileage_quantity,mileage_rate_per_unit,mileage_original_rate_per_unit,mileage_overridden_quantity,item_status,report_status,auto_approved,approval_date,rejection_date,policy_id,rule_id,limit_per_claim,limit_per_day,limit_per_month,limit_per_quarter,limit_per_year,allow_beyond_limit,frequency_per_day,frequency_per_month,frequency_per_quarter,frequency_per_year,allow_beyond_frequency,configured_reviewer_chain,configured_reviewer_count,remark_count,last_workflow_action,is_duplicate_flagged,duplicate_match_count,override_count,item_created_on,item_updated_on,submission_date
501,TRVL-501,510,1000,EXP-510,7,TRVL,,2025-07-15,6136.25,1,,,,,,,Paid,PAID,False,2025-08-03 03:02:46.625297216,,07efccdc-b76b-c2c2-a3a7-8318adfb512a,8069b43c-34e9-70b2-f4c2-7db0cef37477,60000,,120000,,,True,,10,,,True,Manager > Manager's Manager > Admin,3,0,ACCEPT,False,0,0,2025-07-28 06:26:27.398323234,2025-08-03 03:02:46.625297216,2025-07-29 00:00:00.000000000
502,MEAL-502,501,1000,EXP-501,4,MEAL,INV-19882,2025-01-30,2954.83,1,,,,,,,Accepted,ACCEPTED,False,2025-02-05 13:31:11.127909846,,1ecb6427-e183-fcca-8330-549820eee127,f381bf70-6991-6656-6478-c892befc7d1d,10000,,25000,,,True,,12,,,True,Manager > Admin,2,1,ACCEPT,False,0,0,2025-01-31 13:48:04.176482328,2025-02-05 13:31:11.127909846,2025-02-01 00:00:00.000000000
503,MEAL-503,503,1000,EXP-503,4,MEAL,216731,2025-03-17,3211.11,1,,,,,,,Accepted,ACCEPTED,False,2025-03-29 03:41:42.697302915,,1ecb6427-e183-fcca-8330-549820eee127,f381bf70-6991-6656-6478-c892befc7d1d,10000,,25000,,,True,,12,,,True,Manager > Admin,2,0,ACCEPT,False,0,0,2025-03-23 11:27:44.069688540,2025-03-29 03:41:42.697302915,2025-03-24 23:45:02.071124091
504,MEAL-504,506,1000,EXP-506,4,MEAL,658368,2025-04-29,3369.99,1,,,,,,,Accepted,ACCEPTED,False,2025-05-04 22:51:57.960426729,,1ecb6427-e183-fcca-8330-549820eee127,f381bf70-6991-6656-6478-c892befc7d1d,10000,,25000,,,True,,12,,,True,Manager > Admin,2,2,ACCEPT,False,0,0,2025-04-30 23:35:32.197971963,2025-05-04 22:51:57.960426729,2025-05-01 02:46:20.405393764
505,MEAL-505,509,1000,EXP-509,4,MEAL,,2025-06-23,3105.88,1,,,,,,,Paid,PAID,False,2025-07-01 06:11:03.965008691,,1ecb6427-e183-fcca-8330-549820eee127,f381bf70-6991-6656-6478-c892befc7d1d,10000,,25000,,,True,,12,,,True,Manager > Admin,2,1,ACCEPT,False,0,0,2025-06-25 02:58:00.718318676,2025-07-01 06:11:03.965008691,2025-06-25 11:03:04.776940889
506,MEAL-506,511,1000,EXP-511,4,MEAL,INV-22402,2025-07-31,3188.1,1,,,,,,,Paid,PAID,False,2025-08-08 17:57:39.157427417,,1ecb6427-e183-fcca-8330-549820eee127,f381bf70-6991-6656-6478-c892befc7d1d,10000,,25000,,,True,,12,,,True,Manager > Admin,2,1,ACCEPT,False,0,0,2025-08-03 06:35:08.118423423,2025-08-08 17:57:39.157427417,2025-08-04 14:34:49.980534422
507,MEAL-507,514,1000,EXP-514,4,MEAL,251875,2025-09-09,4229.03,1,,,,,,,Paid,PAID,False,2025-09-16 10:48:35.677985831,,1ecb6427-e183-fcca-8330-549820eee127,f381bf70-6991-6656-6478-c892befc7d1d,10000,,25000,,,True,,12,,,True,Manager > Admin,2,2,ACCEPT,False,0,0,2025-09-10 11:59:55.313096808,2025-09-16 10:48:35.677985831,2025-09-11 03:46:52.079153382
508,MEAL-508,516,1000,EXP-516,4,MEAL,24012,2025-10-29,3803.6,1,,,,,,,Accepted,ACCEPTED,False,2025-11-08 20:28:35.912777304,,1ecb6427-e183-fcca-8330-549820eee127,f381bf70-6991-6656-6478-c892befc7d1d,10000,,25000,,,True,,12,,,True,Manager > Admin,2,2,ACCEPT,False,0,0,2025-11-01 08:05:46.451704142,2025-11-08 20:28:35.912777304,2025-11-01 18:53:31.465010582
509,MEAL-509,518,1000,EXP-518,4,MEAL,254300,2025-12-20,4022.88,1,,,,,,,Accepted,ACCEPTED,False,2025-12-25 16:43:52.299978599,,1ecb6427-e183-fcca-8330-549820eee127,f381bf70-6991-6656-6478-c892befc7d1d,10000,,25000,,,True,,12,,,True,Manager > Admin,2,1,ACCEPT,False,0,0,2025-12-21 16:27:13.929342952,2025-12-25 16:43:52.299978599,2025-12-22 00:57:09.752262257
510,MEAL-510,520,1000,EXP-520,4,MEAL,759955,2026-02-04,4320.11,1,,,,,,,Accepted,ACCEPTED,False,2026-02-12 12:48:28.807317692,,1ecb6427-e183-fcca-8330-549820eee127,f381bf70-6991-6656-6478-c892befc7d1d,10000,,25000,,,True,,12,,,True,Manager > Admin,2,2,ACCEPT,False,0,0,2026-02-04 23:34:47.435388525,2026-02-12 12:48:28.807317692,2026-02-05 04:06:06.019427849
511,MEAL-511,522,1000,EXP-522,4,MEAL,,2026-03-27,4651.51,1,,,,,,,Accepted,ACCEPTED,False,2026-03-30 10:17:32.546924640,,1ecb6427-e183-fcca-8330-549820eee127,f381bf70-6991-6656-6478-c892befc7d1d,10000,,25000,,,True,,12,,,True,Manager > Admin,2,0,ACCEPT,False,0,0,2026-03-26 21:05:33.531144828,2026-03-30 10:17:32.546924640,2026-03-27 13:28:37.629373299
512,MEAL-512,524,1000,EXP-524,4,MEAL,25915,2026-05-09,4771.99,1,,,,,,,Accepted,ACCEPTED,False,2026-05-22 03:45:13.671205592,,1ecb6427-e183-fcca-8330-549820eee127,f381bf70-6991-6656-6478-c892befc7d1d,10000,,25000,,,True,,12,,,True,Manager > Admin,2,0,ACCEPT,False,0,0,2026-05-14 11:13:37.309828290,2026-05-22 03:45:13.671205592,2026-05-15 18:45:32.160877147
513,MEAL-513,505,1000,EXP-505,5,MEAL,,2025-03-18,7297.45,1,,,,,,,Accepted,ACCEPTED,False,2025-04-11 21:04:10.877798687,,1ecb6427-e183-fcca-8330-549820eee127,f381bf70-6991-6656-6478-c892befc7d1d,10000,,25000,,,True,,12,,,True,Manager > Admin,2,2,ACCEPT,False,0,0,2025-04-03 08:23:23.972861328,2025-04-11 21:04:10.877798687,2025-04-05 00:00:00.000000000
