item_pk,item_id,report_pk,employee_id,report_id,expense_type_id,expense_category_code,bill_number,bill_date,bill_amount,bill_currency_id,overridden_amount,mileage_unit,mileage_quantity,mileage_rate_per_unit,mileage_original_rate_per_unit,mileage_overridden_quantity,item_status,report_status,auto_approved,approval_date,rejection_date,policy_id,rule_id,limit_per_claim,limit_per_day,limit_per_month,limit_per_quarter,limit_per_year,allow_beyond_limit,frequency_per_day,frequency_per_month,frequency_per_quarter,frequency_per_year,allow_beyond_frequency,configured_reviewer_chain,configured_reviewer_count,remark_count,last_workflow_action,is_duplicate_flagged,duplicate_match_count,override_count,item_created_on,item_updated_on,submission_date
501,FUEL-501,501,1000,EXP-501,9,FUEL,INV-67296,2025-01-12,413.71,1,,KM,91.94,4.5,,,Accepted,ACCEPTED,False,2025-01-22 11:15:43.736224094,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,1,ACCEPT,False,0,0,2025-01-15 16:17:52.760108974,2025-01-22 11:15:43.736224094,2025-01-16 00:00:00.000000000
502,FUEL-502,502,1000,EXP-502,9,FUEL,,2025-02-08,493.79,1,,KM,109.73,4.5,,,Accepted,ACCEPTED,False,2025-02-16 10:05:14.664770948,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,2,ACCEPT,False,0,0,2025-02-10 19:47:02.020353835,2025-02-16 10:05:14.664770948,2025-02-11 16:46:00.790349880
503,FUEL-503,504,1000,EXP-504,9,FUEL,550827,2025-03-11,606.43,1,,KM,134.76,4.5,,,Accepted,ACCEPTED,False,2025-03-21 02:31:35.917163981,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,2,ACCEPT,False,0,0,2025-03-14 04:05:33.642420840,2025-03-21 02:31:35.917163981,2025-03-15 09:43:30.185856917
504,FUEL-504,506,1000,EXP-506,9,FUEL,,2025-04-16,521.84,1,,KM,115.96,4.5,,,Paid,PAID,False,2025-04-26 16:25:28.951336183,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,1,ACCEPT,False,0,0,2025-04-20 14:02:09.379051250,2025-04-26 16:25:28.951336183,2025-04-21 00:42:46.360719996
505,FUEL-505,507,1000,EXP-507,9,FUEL,,2025-05-15,536.33,1,,KM,119.18,4.5,,,Paid,PAID,False,2025-05-21 02:54:42.701945443,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,0,ACCEPT,False,0,0,2025-05-16 12:58:09.079716613,2025-05-21 02:54:42.701945443,2025-05-16 16:31:04.886742326
506,FUEL-506,508,1000,EXP-508,9,FUEL,INV-57247,2025-06-08,609.03,1,,KM,135.34,4.5,,,Accepted,ACCEPTED,False,2025-06-17 13:13:21.253420934,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,1,ACCEPT,False,0,0,2025-06-12 11:09:08.431694451,2025-06-17 13:13:21.253420934,2025-06-12 15:14:11.737622980
507,FUEL-507,510,1000,EXP-510,9,FUEL,INV-68538,2025-07-07,557.71,1,,KM,123.94,4.5,,,Accepted,ACCEPTED,False,2025-07-16 21:26:27.500691959,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,2,ACCEPT,False,0,0,2025-07-10 22:00:43.763971061,2025-07-16 21:26:27.500691959,2025-07-11 09:53:24.887252646
508,FUEL-508,511,1000,EXP-511,9,FUEL,,2025-08-04,636.37,1,,KM,141.42,4.5,,,Paid,PAID,False,2025-08-10 17:43:59.149592660,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,1,ACCEPT,False,0,0,2025-08-04 23:44:34.722320143,2025-08-10 17:43:59.149592660,2025-08-05 13:29:44.661585342
509,FUEL-509,512,1000,EXP-512,9,FUEL,INV-21562,2025-09-06,701.81,1,386.64,KM,155.96,4.5,,,Paid,PAID,False,2025-09-16 07:47:21.992580273,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,2,ACCEPT,False,0,1,2025-09-07 11:08:23.210782940,2025-09-16 07:47:21.992580273,2025-09-09 00:19:54.613087449
510,FUEL-510,513,1000,EXP-513,9,FUEL,,2025-10-01,728.32,1,,KM,161.85,4.5,,,Accepted,ACCEPTED,False,2025-10-12 07:13:20.278339451,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,2,ACCEPT,False,0,0,2025-10-06 04:31:05.623690728,2025-10-12 07:13:20.278339451,2025-10-07 06:22:43.243639966
511,FUEL-511,516,1000,EXP-516,9,FUEL,69595,2025-11-10,721.21,1,,KM,160.27,4.5,,,Paid,PAID,False,2025-11-14 02:07:19.724341490,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,2,ACCEPT,False,0,0,2025-11-09 10:18:48.968154881,2025-11-14 02:07:19.724341490,2025-11-10 01:59:30.639417732
512,FUEL-512,517,1000,EXP-517,9,FUEL,INV-69547,2025-12-07,777.06,1,,KM,172.68,4.5,,,Accepted,ACCEPTED,False,2025-12-16 21:49:53.792477233,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,1,ACCEPT,False,0,0,2025-12-11 07:52:43.076015132,2025-12-16 21:49:53.792477233,2025-12-12 00:09:45.876252036
513,FUEL-513,518,1000,EXP-518,9,FUEL,296024,2026-01-06,814.86,1,,KM,181.08,4.5,,,Paid,PAID,False,2026-01-15 00:22:07.674917133,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,0,ACCEPT,False,0,0,2026-01-11 00:04:47.803258359,2026-01-15 00:22:07.674917133,2026-01-11 01:41:07.624997477
514,FUEL-514,519,1000,EXP-519,9,FUEL,,2026-02-07,848.38,1,,KM,188.53,4.5,,,Accepted,ACCEPTED,False,2026-02-17 12:11:58.402457783,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,0,ACCEPT,False,0,0,2026-02-12 18:09:48.406092140,2026-02-17 12:11:58.402457783,2026-02-13 13:01:26.402317944
515,FUEL-515,521,1000,EXP-521,9,FUEL,801431,2026-03-11,934.55,1,,KM,207.68,4.5,,,Accepted,ACCEPTED,False,2026-03-18 20:20:05.737554763,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,1,ACCEPT,False,0,0,2026-03-13 11:19:18.261057641,2026-03-18 20:20:05.737554763,2026-03-14 10:14:48.269684210
516,FUEL-516,522,1000,EXP-522,9,FUEL,110624,2026-04-12,820.39,1,,KM,182.31,4.5,,,Accepted,ACCEPTED,False,2026-04-24 00:19:16.742776067,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,1,ACCEPT,False,0,0,2026-04-15 14:02:14.070697103,2026-04-24 00:19:16.742776067,2026-04-17 05:55:23.356129442
517,FUEL-517,523,1000,EXP-523,9,FUEL,,2026-05-05,910.88,1,,KM,202.42,4.5,,,Accepted,ACCEPTED,False,2026-05-15 16:15:20.976540990,,b00360f0-9615-a715-7741-c358ef7bcec3,05770d3a-b4fb-ee5f-bb76-336e2d61ca4b,8000,,15000,,,True,,8,,,True,Manager > Admin,2,2,ACCEPT,False,0,0,2026-05-12 03:53:08.925998120,2026-05-15 16:15:20.976540990,2026-05-12 11:11:07.966070373
