item_pk,item_id,report_pk,employee_id,report_id,employee_id-2,expense_type_name,expense_category_name,expense_category_code,bill_number,bill_date,bill_amount,bill_currency_id,overridden_amount,mileage_unit,mileage_quantity,mileage_rate_per_unit,mileage_original_rate_per_unit,mileage_overridden_quantity,item_status,report_status,auto_approved,approval_date,rejection_date,policy_id,rule_id,limit_per_claim,limit_per_day,limit_per_month,limit_per_quarter,limit_per_year,allow_beyond_limit,frequency_per_day,frequency_per_month,frequency_per_quarter,frequency_per_year,allow_beyond_frequency,configured_reviewer_chain,configured_reviewer_count,remark_count,last_workflow_action,is_duplicate_flagged,duplicate_match_count,override_count,item_created_on,item_updated_on,submission_date
501,LEARN-501,522,1000,EXP-522,1000,Books,Learning & Development,LEARN,,2026-04-24,469.53,1,,,,,,,Rejected,REJECTED,False,,2026-05-03 13:01:01.196517435,16d7fc1d-6f26-c25d-dc15-ee54e66559a6,c46f28a9-728d-818a-8778-55d71f73fde2,30000,,40000,,,True,,3,,,True,Manager > Admin,2,2,REJECT,False,0,0,2026-04-29 17:14:32.980042989,2026-05-03 13:01:01.196517435,2026-04-30 00:00:00.000000000
502,MED-502,501,1000,EXP-501,1000,Consultation,Medical,MED,,2025-01-27,1186.72,1,,,,,,,Paid,PAID,False,2025-02-02 18:57:34.751442630,,c21023f2-53d9-394a-ba32-0b02e6252c2f,5e030f87-513a-abc3-d309-f1805b3ddb5f,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,1,ACCEPT,False,0,0,2025-01-25 22:11:52.356653261,2025-02-02 18:57:34.751442630,2025-01-27 00:00:00.000000000
503,MED-503,505,1000,EXP-505,1000,Consultation,Medical,MED,,2025-04-19,1498.88,1,,,,,,,Paid,PAID,False,2025-04-24 05:44:34.553174788,,c21023f2-53d9-394a-ba32-0b02e6252c2f,5e030f87-513a-abc3-d309-f1805b3ddb5f,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,2,ACCEPT,False,0,0,2025-04-18 01:04:22.661254803,2025-04-24 05:44:34.553174788,2025-04-19 15:10:33.073293633
504,MED-504,510,1000,EXP-510,1000,Consultation,Medical,MED,164219,2025-07-20,1522.02,1,,,,,,,Paid,PAID,False,2025-07-26 23:24:37.083424203,,c21023f2-53d9-394a-ba32-0b02e6252c2f,5e030f87-513a-abc3-d309-f1805b3ddb5f,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,0,ACCEPT,False,0,0,2025-07-20 15:50:49.014380548,2025-07-26 23:24:37.083424203,2025-07-20 21:04:57.486794636
505,MED-505,513,1000,EXP-513,1000,Consultation,Medical,MED,333570,2025-10-03,1636.74,1,,,,,,,Rejected,REJECTED,False,,2025-10-09 16:40:51.944324204,c21023f2-53d9-394a-ba32-0b02e6252c2f,5e030f87-513a-abc3-d309-f1805b3ddb5f,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,2,REJECT,False,0,0,2025-10-06 11:51:52.976713137,2025-10-09 16:40:51.944324204,2025-10-07 11:28:31.273179084
506,MED-506,516,1000,EXP-516,1000,Consultation,Medical,MED,,2026-01-01,1742.88,1,,,,,,,Accepted,ACCEPTED,False,2026-01-11 15:14:15.501553685,,c21023f2-53d9-394a-ba32-0b02e6252c2f,5e030f87-513a-abc3-d309-f1805b3ddb5f,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,1,ACCEPT,False,0,0,2026-01-04 07:54:46.226617743,2026-01-11 15:14:15.501553685,2026-01-04 12:44:37.087781225
507,MED-507,520,1000,EXP-520,1000,Consultation,Medical,MED,,2026-04-09,2174.44,1,,,,,,,Accepted,ACCEPTED,False,2026-04-15 07:29:40.944608088,,c21023f2-53d9-394a-ba32-0b02e6252c2f,5e030f87-513a-abc3-d309-f1805b3ddb5f,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,1,ACCEPT,False,0,0,2026-04-10 03:15:18.643810311,2026-04-15 07:29:40.944608088,2026-04-10 05:39:03.647148473
508,INT-508,502,1000,EXP-502,1000,Broadband,Internet & Telecom,INT,INV-24878,2025-01-28,1683.39,1,,,,,,,Rejected,REJECTED,False,,2025-02-03 20:38:45.700470669,41fbf981-d1d8-add5-00dd-c6d8ddcee37e,c9293cc8-0020-dc93-413e-20ee855c61b1,3000,,6000,,,True,,4,,,True,Manager,1,2,REJECT,False,0,0,2025-01-31 12:39:05.821673989,2025-02-03 20:38:45.700470669,2025-02-01 00:00:00.000000000
509,INT-509,503,1000,EXP-503,1000,Broadband,Internet & Telecom,INT,,2025-03-04,1387.63,1,,,,,,,Rejected,REJECTED,False,,2025-03-13 00:20:51.894737041,41fbf981-d1d8-add5-00dd-c6d8ddcee37e,c9293cc8-0020-dc93-413e-20ee855c61b1,3000,,6000,,,True,,4,,,True,Manager,1,2,REJECT,False,0,0,2025-03-06 22:21:51.467131485,2025-03-13 00:20:51.894737041,2025-03-08 07:34:16.690280481
510,INT-510,504,1000,EXP-504,1000,Broadband,Internet & Telecom,INT,INV-85200,2025-03-26,1631.81,1,,,,,,,Accepted,ACCEPTED,False,2025-04-01 02:27:21.595927550,,41fbf981-d1d8-add5-00dd-c6d8ddcee37e,c9293cc8-0020-dc93-413e-20ee855c61b1,3000,,6000,,,True,,4,,,True,Manager,1,1,ACCEPT,False,0,0,2025-03-28 07:42:01.278231336,2025-04-01 02:27:21.595927550,2025-03-29 02:44:46.459771046
