item_pk,item_id,report_pk,employee_id,report_id,expense_type_id,expense_category_code,bill_number,bill_date,bill_amount,bill_currency_id,overridden_amount,mileage_unit,mileage_quantity,mileage_rate_per_unit,mileage_original_rate_per_unit,mileage_overridden_quantity,item_status,report_status,auto_approved,approval_date,rejection_date,policy_id,rule_id,limit_per_claim,limit_per_day,limit_per_month,limit_per_quarter,limit_per_year,allow_beyond_limit,frequency_per_day,frequency_per_month,frequency_per_quarter,frequency_per_year,allow_beyond_frequency,configured_reviewer_chain,configured_reviewer_count,remark_count,last_workflow_action,is_duplicate_flagged,duplicate_match_count,override_count,item_created_on,item_updated_on,submission_date
501,MED-501,507,1000,EXP-507,14,MED,INV-69197,2025-02-22,1347.43,1,,,,,,,Accepted,ACCEPTED,False,2025-03-05 04:46:00.151520869,,637f393f-d511-3dc5-31d8-2f481abcfe78,79cc7328-438f-ed5e-1b35-6754005f453c,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,0,ACCEPT,False,0,0,2025-02-24 08:36:29.950218230,2025-03-05 04:46:00.151520869,2025-02-25 00:00:00.000000000
502,MED-502,516,1000,EXP-516,14,MED,INV-14987,2025-04-25,1316.56,1,,,,,,,Rejected,REJECTED,False,,2025-05-02 08:57:26.790453282,637f393f-d511-3dc5-31d8-2f481abcfe78,79cc7328-438f-ed5e-1b35-6754005f453c,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,0,REJECT,False,0,0,2025-04-28 00:12:10.364448986,2025-05-02 08:57:26.790453282,2025-04-29 12:55:58.083176753
503,MED-503,527,1000,EXP-527,14,MED,883338,2025-07-14,1764.67,1,,,,,,,Accepted,ACCEPTED,False,2025-07-26 02:08:09.504003576,,637f393f-d511-3dc5-31d8-2f481abcfe78,79cc7328-438f-ed5e-1b35-6754005f453c,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,0,ACCEPT,False,0,0,2025-07-18 05:45:23.818820628,2025-07-26 02:08:09.504003576,2025-07-19 06:06:56.844140951
504,MED-504,535,1000,EXP-535,14,MED,,2025-10-24,2040.62,1,,,,,,,Paid,PAID,False,2025-11-05 13:31:55.662708112,,637f393f-d511-3dc5-31d8-2f481abcfe78,79cc7328-438f-ed5e-1b35-6754005f453c,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,2,ACCEPT,False,0,0,2025-10-26 00:46:04.588525742,2025-11-05 13:31:55.662708112,2025-10-27 03:18:25.889283861
505,MED-505,543,1000,EXP-543,14,MED,,2026-01-03,2079.58,1,,,,,,,Paid,PAID,False,2026-01-10 02:39:29.457007661,,637f393f-d511-3dc5-31d8-2f481abcfe78,79cc7328-438f-ed5e-1b35-6754005f453c,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,0,ACCEPT,False,0,0,2026-01-02 14:58:46.812838166,2026-01-10 02:39:29.457007661,2026-01-03 22:07:08.354479708
506,MED-506,557,1000,EXP-557,14,MED,406127,2026-04-14,2097.54,1,,,,,,,Rejected,REJECTED,False,,2026-04-18 15:08:20.408852825,637f393f-d511-3dc5-31d8-2f481abcfe78,79cc7328-438f-ed5e-1b35-6754005f453c,100000,,150000,,,True,,4,,,True,Manager > Manager's Manager > Admin,3,2,REJECT,False,0,0,2026-04-13 08:11:43.852259834,2026-04-18 15:08:20.408852825,2026-04-14 23:29:56.554882584
507,MEAL-507,512,1000,EXP-512,5,MEAL,292211,2025-03-24,9160.13,1,,,,,,,Rejected,REJECTED,False,,2025-04-05 23:07:52.274747719,c2f8f42f-26ab-95b9-23f2-06afc2ba10e9,80810b5e-c1de-0296-d62f-5b127062bcfc,10000,,25000,,,True,,12,,,True,Manager > Admin,2,2,REJECT,False,0,0,2025-03-27 19:16:59.101036398,2025-04-05 23:07:52.274747719,2025-03-29 00:00:00.000000000
508,MEAL-508,524,1000,EXP-524,5,MEAL,INV-50529,2025-07-04,9375.85,1,,,,,,,Rejected,REJECTED,False,,2025-07-13 00:48:22.635613113,c2f8f42f-26ab-95b9-23f2-06afc2ba10e9,80810b5e-c1de-0296-d62f-5b127062bcfc,10000,,25000,,,True,,12,,,True,Manager > Admin,2,1,REJECT,False,0,0,2025-07-10 12:19:01.539305932,2025-07-13 00:48:22.635613113,2025-07-10 18:37:33.708322566
509,MEAL-509,536,1000,EXP-536,5,MEAL,,2025-10-26,9004.05,1,,,,,,,Paid,PAID,False,2025-11-06 20:53:22.897681342,,c2f8f42f-26ab-95b9-23f2-06afc2ba10e9,80810b5e-c1de-0296-d62f-5b127062bcfc,10000,,25000,,,True,,12,,,True,Manager > Admin,2,1,ACCEPT,False,0,0,2025-10-30 14:03:39.832575089,2025-11-06 20:53:22.897681342,2025-10-31 01:45:54.466007890
510,MEAL-510,546,1000,EXP-546,5,MEAL,581193,2026-01-24,8789.9,1,,,,,,,Accepted,ACCEPTED,False,2026-02-03 14:35:05.284209955,,c2f8f42f-26ab-95b9-23f2-06afc2ba10e9,80810b5e-c1de-0296-d62f-5b127062bcfc,10000,,25000,,,True,,12,,,True,Manager > Admin,2,2,ACCEPT,False,0,0,2026-01-26 16:51:16.267581613,2026-02-03 14:35:05.284209955,2026-01-27 12:14:12.053411827
511,MEAL-511,555,1000,EXP-555,5,MEAL,796710,2026-04-06,9165.14,1,,,,,,,Paid,PAID,False,2026-04-16 03:32:13.850277430,,c2f8f42f-26ab-95b9-23f2-06afc2ba10e9,80810b5e-c1de-0296-d62f-5b127062bcfc,10000,,25000,,,True,,12,,,True,Manager > Admin,2,2,ACCEPT,False,0,0,2026-04-11 01:21:02.211020503,2026-04-16 03:32:13.850277430,2026-04-11 09:56:37.480889313
