employee_id,expense_category_code,expense_type_id,n_claims_total,n_clean_approved,n_rejected,reject_rate,amount_centre,amount_spread,amount_cv,amount_min,amount_max,gap_centre_days,gap_spread_days,lag_centre_days,lag_spread_days,months_active,first_claim,last_claim,pattern_type
1000,INT,1,17,12,4,0.23529411764705882,1460.88,273.79,0.1874,1147.2,1856.85,39.0,25.2,2.0,2.2,14.9,2025-03-29 02:44:46.459771046,2026-06-25 14:59:49.539164110,moderate
1000,MEAL,4,2,2,0,0.0,1923.72,190.4,0.099,1795.29,2052.14,48.0,2.4,7.5,2.2,1.6,2026-04-20 00:00:00.000000000,2026-06-07 23:52:34.216145176,too_few
1000,MED,14,6,5,1,0.16666666666666666,1522.02,327.45,0.2151,1186.72,2174.44,93.5,9.6,0.0,0.0,14.4,2025-01-27 00:00:00.000000000,2026-04-10 05:39:03.647148473,moderate
1001,INT,2,17,11,6,0.35294117647058826,818.81,40.94,0.05,772.96,891.42,32.0,5.2,0.0,0.0,14.5,2025-01-24 00:00:00.000000000,2026-04-09 09:09:50.002559771,steady
1001,LEARN,11,4,2,2,0.5,369.34,25.46,0.0689,352.17,386.52,147.0,7.4,14.0,3.0,4.8,2025-03-21 00:00:00.000000000,2025-08-15 06:42:06.178363238,too_few
1001,MEAL,4,2,2,0,0.0,2672.32,148.53,0.0556,2572.14,2772.51,52.0,2.6,14.0,3.0,1.7,2026-04-10 00:00:00.000000000,2026-06-01 02:13:40.617055128,too_few
1002,INT,1,18,12,6,0.3333333333333333,1300.57,65.03,0.05,1237.21,1350.35,33.0,8.9,3.0,2.2,15.9,2025-02-19 10:29:41.928323128,2026-06-17 13:04:05.567819659,steady
1002,INT,2,18,14,3,0.16666666666666666,728.43,36.42,0.05,677.73,790.11,30.0,4.4,1.0,1.5,17.0,2025-01-19 00:00:00.000000000,2026-06-19 22:21:55.024263551,steady
1002,MEAL,3,71,56,10,0.14084507042253522,307.24,135.8,0.442,137.49,588.65,8.0,3.0,8.0,1.5,16.9,2025-01-15 00:00:00.000000000,2026-06-13 04:09:01.172609386,inconsistent
1002,TRVL,8,4,1,3,0.75,18811.26,940.56,0.05,18811.26,18811.26,,,0.0,0.0,0.0,2025-12-05 19:46:42.784125776,2025-12-05 19:46:42.784125776,too_few
1003,INT,2,3,2,1,0.3333333333333333,738.39,106.82,0.1447,666.34,810.44,26.0,1.3,6.0,1.5,0.9,2026-05-20 14:00:03.190988798,2026-06-15 15:56:45.891715550,too_few
1003,LEARN,12,1,1,0,0.0,9281.82,464.09,0.05,9281.82,9281.82,,,2.0,0.1,0.0,2026-01-07 00:00:00.000000000,2026-01-07 00:00:00.000000000,too_few
1003,LEARN,13,2,1,1,0.5,17441.9,872.1,0.05,17441.9,17441.9,,,6.0,0.3,0.0,2026-03-07 15:48:32.731869300,2026-03-07 15:48:32.731869300,too_few
1003,MEAL,3,14,6,7,0.5,148.24,7.41,0.05,139.41,156.37,6.0,0.3,10.5,2.2,2.0,2026-03-28 00:00:00.000000000,2026-05-28 09:39:16.205693707,steady
1004,INT,1,18,13,4,0.2222222222222222,1235.41,61.77,0.05,1160.06,1289.32,34.0,14.1,0.0,0.0,16.5,2025-01-28 00:00:00.000000000,2026-06-14 22:40:49.106296382,steady
1004,INT,2,18,12,6,0.3333333333333333,734.27,36.71,0.05,718.91,772.46,32.0,7.4,1.5,1.5,16.0,2025-02-09 01:25:43.873047026,2026-06-12 09:16:06.687247636,steady
1004,LEARN,13,2,1,0,0.0,7771.83,388.59,0.05,7771.83,7771.83,,,11.0,0.6,0.0,2025-03-17 00:00:00.000000000,2025-03-17 00:00:00.000000000,too_few
1004,MEAL,3,13,6,7,0.5384615384615384,301.1,15.06,0.05,283.85,313.07,12.0,5.9,16.5,1.5,2.1,2026-04-01 00:00:00.000000000,2026-06-04 06:15:44.836726104,steady
1005,FUEL,10,19,15,4,0.21052631578947367,2570.6,128.53,0.05,2486.75,2726.33,31.0,4.4,2.0,3.0,17.1,2025-01-24 00:00:00.000000000,2026-06-28 01:19:58.127216545,steady
1005,INT,2,4,2,2,0.5,473.26,60.9,0.1287,432.18,514.33,56.0,2.8,18.5,0.9,1.8,2026-03-29 00:00:00.000000000,2026-05-24 18:12:37.635776122,too_few
1005,TRVL,8,5,3,2,0.4,18977.19,948.86,0.05,18898.94,20176.94,244.5,162.3,4.0,0.2,16.1,2025-02-24 00:00:00.000000000,2026-06-29 10:55:30.140608898,steady
1006,LEARN,11,6,6,0,0.0,1455.25,329.27,0.2263,1086.2,2531.11,77.0,11.9,16.0,1.5,14.8,2025-03-29 00:00:00.000000000,2026-06-23 00:02:34.099968076,moderate
