employee_id,expense_category_code,expense_type_id,n_claims_total,n_clean_approved,n_rejected,reject_rate,amount_centre,amount_spread,amount_cv,amount_min,amount_max,gap_centre_days,gap_spread_days,lag_centre_days,lag_spread_days,months_active,first_claim,last_claim,pattern_type
1000,INT,2,18,14,4,0.2222222222222222,707.94,35.4,0.05,683.15,740.82,30.0,4.4,1.0,1.5,14.7,2025-02-13 22:28:50.269974046,2026-05-08 08:14:38.688879983,steady
1000,MEAL,5,5,3,2,0.4,9004.05,450.2,0.05,8789.9,9165.14,80.5,11.1,5.0,0.2,5.3,2025-10-31 01:45:54.466007890,2026-04-11 09:56:37.480889313,steady
1000,MED,14,6,4,2,0.3333333333333333,1902.64,233.44,0.1227,1347.43,2079.58,99.0,46.0,3.0,1.5,10.2,2025-02-25 00:00:00.000000000,2026-01-03 22:07:08.354479708,moderate
1000,TRVL,6,40,32,6,0.15,665.2,258.54,0.3887,211.73,1087.87,14.0,7.4,4.0,1.5,16.9,2025-01-06 00:00:00.000000000,2026-06-04 00:34:43.398085730,inconsistent
1000,TRVL,8,5,2,3,0.6,27398.86,12998.82,0.4744,18631.28,36166.45,472.0,23.6,3.0,0.2,15.5,2025-03-05 00:00:00.000000000,2026-06-20 23:35:05.374174144,too_few
1001,FUEL,10,2,1,1,0.5,2457.17,122.86,0.05,2457.17,2457.17,,,7.0,0.4,0.0,2026-04-13 00:00:00.000000000,2026-04-13 00:00:00.000000000,too_few
1001,LEARN,13,2,2,0,0.0,11402.0,1498.25,0.1314,10391.45,12412.56,230.0,11.5,2.5,0.7,7.6,2025-06-23 00:00:00.000000000,2026-02-08 11:20:16.060850604,too_few
1001,MEAL,3,78,58,18,0.23076923076923078,349.21,72.95,0.2089,218.85,456.25,7.0,1.5,3.5,2.2,17.6,2025-01-10 00:00:00.000000000,2026-06-29 05:44:17.557917704,moderate
1001,MED,15,1,1,0,0.0,29182.06,1459.1,0.05,29182.06,29182.06,,,3.0,0.2,0.0,2025-11-27 00:00:00.000000000,2025-11-27 00:00:00.000000000,too_few
1002,LEARN,13,2,2,0,0.0,17357.54,1822.66,0.105,16128.17,18586.9,406.0,20.3,9.0,3.0,13.3,2025-02-18 00:00:00.000000000,2026-03-31 05:30:14.070278080,too_few
1002,MEAL,3,9,4,5,0.5555555555555556,245.63,12.28,0.05,238.84,257.45,12.0,7.4,4.5,2.2,1.3,2026-04-30 00:00:00.000000000,2026-06-08 08:23:05.207399343,new
1002,TRVL,6,39,23,7,0.1794871794871795,323.0,76.72,0.2375,200.14,483.41,17.5,14.1,13.0,3.0,16.7,2025-01-08 00:00:00.000000000,2026-05-31 10:23:28.316610521,moderate
1003,LEARN,13,2,2,0,0.0,11751.72,587.59,0.05,11508.29,11995.15,279.0,14.0,6.0,0.3,9.2,2025-05-05 00:00:00.000000000,2026-02-08 19:53:14.504528296,too_few
