employee_id,expense_category_code,expense_type_id,n_claims_total,n_clean_approved,n_rejected,reject_rate,amount_centre,amount_spread,amount_cv,amount_min,amount_max,gap_centre_days,gap_spread_days,lag_centre_days,lag_spread_days,months_active,first_claim,last_claim,pattern_type
1000,INT,2,18,18,0,0.0,583.18,29.16,0.05,519.6,616.91,30.0,4.4,4.0,1.5,16.6,2025-01-26 00:00:00.000000000,2026-06-15 15:36:40.675104446,steady
1000,MEAL,4,12,12,0,0.0,2823.62,1511.04,0.5351,1116.52,6171.22,44.0,16.3,16.5,1.5,15.3,2025-01-31 00:00:00.000000000,2026-05-12 02:46:09.323346120,inconsistent
1000,TRVL,6,38,38,0,0.0,694.01,182.77,0.2634,429.85,983.13,13.0,1.5,4.0,3.0,17.1,2025-01-11 00:00:00.000000000,2026-06-16 08:50:08.673410327,moderate
1000,TRVL,7,2,2,0,0.0,3987.06,347.9,0.0873,3752.4,4221.71,63.0,3.2,11.5,0.7,2.1,2026-03-23 00:00:00.000000000,2026-05-25 10:14:54.836004660,too_few
1001,FUEL,10,18,15,3,0.16666666666666666,2551.9,127.6,0.05,2399.15,2712.07,30.5,4.4,4.0,1.5,16.0,2025-01-27 00:00:00.000000000,2026-05-29 22:35:25.950599986,steady
1001,INT,2,17,16,1,0.058823529411764705,636.4,150.61,0.2367,456.39,764.7,31.0,3.0,1.0,1.5,16.4,2025-01-28 00:00:00.000000000,2026-06-12 03:30:04.330393616,moderate
1001,LEARN,11,1,1,0,0.0,730.87,36.54,0.05,730.87,730.87,,,9.0,0.4,0.0,2026-04-30 00:00:00.000000000,2026-04-30 00:00:00.000000000,too_few
1001,LEARN,12,1,1,0,0.0,12299.43,614.97,0.05,12299.43,12299.43,,,14.0,0.7,0.0,2026-04-09 00:00:00.000000000,2026-04-09 00:00:00.000000000,too_few
1001,MEAL,3,74,71,0,0.0,307.77,107.5,0.3493,140.95,565.49,6.5,2.2,11.0,1.5,17.4,2025-01-09 00:00:00.000000000,2026-06-23 12:44:24.948774268,inconsistent
1002,INT,2,17,16,1,0.058823529411764705,471.8,23.59,0.05,443.03,509.09,32.0,4.4,4.0,3.0,16.4,2025-02-01 00:00:00.000000000,2026-06-16 19:55:32.643821607,steady
1002,LEARN,13,2,2,0,0.0,10686.62,710.54,0.0665,10207.37,11165.87,219.0,11.0,1.5,2.2,7.2,2025-04-22 00:00:00.000000000,2025-11-27 13:40:14.461195904,too_few
1002,MEAL,4,12,12,0,0.0,3537.5,503.11,0.1422,2685.4,4543.91,46.0,3.0,4.0,1.5,16.3,2025-01-14 00:00:00.000000000,2026-05-25 05:50:25.998890981,moderate
1003,MEAL,4,1,1,0,0.0,3390.39,169.52,0.05,3390.39,3390.39,,,16.0,0.8,0.0,2025-09-30 00:00:00.000000000,2025-09-30 00:00:00.000000000,too_few
1003,MED,14,1,1,0,0.0,869.48,43.47,0.05,869.48,869.48,,,22.0,1.1,0.0,2026-04-13 00:00:00.000000000,2026-04-13 00:00:00.000000000,too_few
1003,MED,15,1,1,0,0.0,42100.47,2105.02,0.05,42100.47,42100.47,,,5.0,0.2,0.0,2025-08-16 00:00:00.000000000,2025-08-16 00:00:00.000000000,too_few
1003,TRVL,6,38,38,0,0.0,337.89,16.89,0.05,309.77,370.3,14.0,1.5,5.0,1.5,17.2,2025-01-14 00:00:00.000000000,2026-06-22 16:35:25.471002139,steady
1003,TRVL,8,6,5,0,0.0,17592.51,5726.42,0.3255,13730.09,23592.28,107.0,93.4,17.0,1.5,15.2,2025-01-29 00:00:00.000000000,2026-05-06 09:10:04.497850769,inconsistent
1004,INT,2,18,18,0,0.0,429.0,21.45,0.05,390.49,441.79,29.0,3.0,0.0,0.0,16.9,2025-01-13 00:00:00.000000000,2026-06-11 21:30:22.622287705,steady
1004,MEAL,3,78,76,1,0.01282051282051282,353.96,17.7,0.05,327.78,381.48,7.0,1.5,1.5,2.2,17.5,2025-01-07 00:00:00.000000000,2026-06-25 22:29:04.468251459,steady
1004,MEAL,5,6,5,0,0.0,12727.63,2523.25,0.1982,8591.77,16218.52,101.0,13.3,1.0,1.5,15.6,2025-02-15 00:00:00.000000000,2026-06-05 03:04:15.348299428,moderate
1004,MED,14,2,1,1,0.5,1111.55,55.58,0.05,1111.55,1111.55,,,18.0,0.9,0.0,2026-06-22 07:44:56.940931839,2026-06-22 07:44:56.940931839,too_few
1005,FUEL,9,19,17,1,0.05263157894736842,725.74,36.29,0.05,691.96,743.83,30.0,4.4,4.0,1.5,17.1,2025-01-23 00:00:00.000000000,2026-06-27 19:32:24.243060267,steady
1005,LEARN,11,5,5,0,0.0,916.77,58.55,0.0639,617.14,956.26,128.0,11.1,3.0,1.5,16.6,2025-01-23 00:00:00.000000000,2026-06-12 02:11:47.326471690,steady
1005,LEARN,13,2,2,0,0.0,9542.42,477.12,0.05,9237.98,9846.87,400.0,20.0,18.0,1.5,13.1,2025-05-02 00:00:00.000000000,2026-06-06 00:00:00.000000000,too_few
1006,MEAL,5,6,6,0,0.0,5754.52,287.73,0.05,5221.94,5832.12,82.0,8.9,1.5,2.2,14.3,2025-03-14 00:00:00.000000000,2026-05-24 19:32:44.912745750,steady
1006,MED,15,1,1,0,0.0,44963.28,2248.16,0.05,44963.28,44963.28,,,15.0,0.8,0.0,2025-03-26 00:00:00.000000000,2025-03-26 00:00:00.000000000,too_few
