employee_id,expense_category_code,expense_type_id,n_claims_total,n_clean_approved,n_rejected,reject_rate,amount_centre,amount_spread,amount_cv,amount_min,amount_max,gap_centre_days,gap_spread_days,lag_centre_days,lag_spread_days,months_active,first_claim,last_claim,pattern_type
1000,MED,14,7,6,0,0.0,759.4,331.29,0.4363,454.4,1526.18,111.0,13.3,8.0,1.5,14.6,2025-03-25 00:00:00.000000000,2026-06-12 23:45:07.877957372,inconsistent
1000,MED,15,2,2,0,0.0,48291.33,8637.45,0.1789,42465.45,54117.21,403.0,20.2,5.0,1.5,13.2,2025-04-22 00:00:00.000000000,2026-05-30 11:01:19.741712248,too_few
1001,LEARN,12,2,2,0,0.0,4321.36,2055.31,0.4756,2935.08,5707.65,272.0,13.6,15.5,0.8,8.9,2025-04-23 00:00:00.000000000,2026-01-20 15:57:48.683420452,too_few
1001,LEARN,13,1,1,0,0.0,15031.0,751.55,0.05,15031.0,15031.0,,,10.0,0.5,0.0,2025-11-13 00:00:00.000000000,2025-11-13 00:00:00.000000000,too_few
1001,MEAL,3,75,71,0,0.0,293.23,102.36,0.3491,123.86,695.07,7.0,2.2,10.0,1.5,17.4,2025-01-12 00:00:00.000000000,2026-06-27 18:15:29.460172069,inconsistent
1001,MEAL,4,1,1,0,0.0,1296.4,64.82,0.05,1296.4,1296.4,,,13.0,0.6,0.0,2025-05-31 00:00:00.000000000,2025-05-31 00:00:00.000000000,too_few
1001,MED,15,2,2,0,0.0,29430.17,1471.51,0.05,29260.61,29599.73,346.0,17.3,7.0,1.5,11.4,2025-05-08 00:00:00.000000000,2026-04-19 16:20:39.380421828,too_few
1002,INT,1,18,18,0,0.0,1164.64,58.23,0.05,1130.56,1218.77,28.0,3.0,3.0,1.5,16.3,2025-01-23 00:00:00.000000000,2026-06-04 21:33:22.963011092,steady
1002,MEAL,5,6,6,0,0.0,6888.76,344.44,0.05,6338.14,7143.21,85.0,5.9,2.0,1.5,14.0,2025-02-11 00:00:00.000000000,2026-04-14 00:03:51.165928025,steady
1002,TRVL,6,40,39,0,0.0,557.28,175.01,0.314,242.15,840.3,14.0,3.0,18.0,3.0,17.3,2025-01-14 00:00:00.000000000,2026-06-24 22:11:20.111490409,inconsistent
1002,TRVL,8,5,4,1,0.2,13129.9,730.65,0.0556,12474.84,13666.29,130.0,17.8,3.5,1.5,16.0,2025-02-16 00:00:00.000000000,2026-06-17 16:08:10.966594208,steady
1003,LEARN,11,5,5,0,0.0,1811.03,177.42,0.098,1460.88,2496.7,89.0,49.7,13.0,1.5,12.5,2025-01-26 00:00:00.000000000,2026-02-10 02:37:33.106685708,steady
1003,LEARN,12,3,3,0,0.0,11031.79,551.59,0.05,10419.56,11135.99,164.0,10.4,2.0,1.5,10.8,2025-05-29 00:00:00.000000000,2026-04-23 05:11:56.219741090,steady
1003,TRVL,6,38,35,0,0.0,560.35,233.82,0.4173,267.6,999.09,15.0,5.9,12.0,1.5,17.4,2025-01-14 00:00:00.000000000,2026-06-29 22:22:19.317570450,inconsistent
1003,TRVL,7,7,7,0,0.0,6462.17,323.11,0.05,6143.03,7006.55,78.0,11.1,3.0,1.5,15.3,2025-03-04 00:00:00.000000000,2026-06-14 08:41:34.618735589,steady
1004,INT,1,19,19,0,0.0,1196.11,59.81,0.05,1135.84,1268.2,28.0,4.4,5.0,1.5,17.1,2025-01-08 00:00:00.000000000,2026-06-12 03:10:50.786967087,steady
1004,LEARN,13,2,2,0,0.0,11094.44,645.9,0.0582,10658.79,11530.1,246.0,12.3,2.0,1.5,8.1,2025-07-14 00:00:00.000000000,2026-03-17 12:21:41.208990872,too_few
1004,MEAL,4,13,13,0,0.0,1531.32,76.57,0.05,1423.81,1590.71,44.5,5.9,3.0,1.5,17.5,2025-01-11 00:00:00.000000000,2026-06-27 13:53:39.569232632,steady
1004,MED,14,2,2,0,0.0,634.12,96.41,0.152,569.09,699.14,43.0,2.2,5.0,4.4,1.4,2025-11-04 00:00:00.000000000,2025-12-17 00:00:00.000000000,too_few
1005,INT,1,18,18,0,0.0,1250.93,62.55,0.05,1146.72,1305.94,29.0,3.0,1.0,1.5,17.2,2025-01-15 00:00:00.000000000,2026-06-24 01:08:16.581114192,steady
