employee_id,expense_category_code,expense_type_id,n_claims_total,n_clean_approved,n_rejected,reject_rate,amount_centre,amount_spread,amount_cv,amount_min,amount_max,gap_centre_days,gap_spread_days,lag_centre_days,lag_spread_days,months_active,first_claim,last_claim,pattern_type
1000,MEAL,4,11,11,0,0.0,3803.6,878.43,0.2309,2954.83,4771.99,49.5,4.4,2.0,1.5,15.4,2025-02-01 00:00:00.000000000,2026-05-15 18:45:32.160877147,moderate
1000,MEAL,5,7,6,1,0.14285714285714285,6755.36,2193.73,0.3247,4737.64,8690.07,73.0,41.5,17.5,1.5,13.0,2025-04-05 00:00:00.000000000,2026-05-07 20:14:48.152585056,inconsistent
1000,MED,15,1,1,0,0.0,37204.69,1860.23,0.05,37204.69,37204.69,,,4.0,0.2,0.0,2025-04-04 00:00:00.000000000,2025-04-04 00:00:00.000000000,too_few
1000,TRVL,7,1,1,0,0.0,6136.25,306.81,0.05,6136.25,6136.25,,,14.0,0.7,0.0,2025-07-29 00:00:00.000000000,2025-07-29 00:00:00.000000000,too_few
1000,TRVL,8,5,4,1,0.2,13194.68,659.73,0.05,13027.29,13597.14,115.0,5.8,2.0,2.2,10.9,2025-02-25 00:00:00.000000000,2026-01-22 16:20:40.318221163,steady
1001,FUEL,10,19,17,2,0.10526315789473684,2038.43,101.92,0.05,1900.14,2183.69,30.0,3.7,1.0,1.5,17.2,2025-01-20 00:00:00.000000000,2026-06-29 18:15:39.759702527,steady
1001,INT,1,1,1,0,0.0,1911.56,95.58,0.05,1911.56,1911.56,,,15.0,0.8,0.0,2026-01-31 00:00:00.000000000,2026-01-31 00:00:00.000000000,too_few
1001,LEARN,12,3,3,0,0.0,10754.95,2605.05,0.2422,8312.6,12512.03,177.5,8.9,2.0,0.1,11.7,2025-03-09 00:00:00.000000000,2026-02-28 16:02:36.066146194,moderate
1001,MED,15,1,1,0,0.0,43871.25,2193.56,0.05,43871.25,43871.25,,,9.0,0.4,0.0,2025-08-20 00:00:00.000000000,2025-08-20 00:00:00.000000000,too_few
1001,TRVL,6,6,4,2,0.3333333333333333,416.18,20.81,0.05,394.16,433.06,16.0,0.8,3.0,0.7,1.5,2026-05-10 07:10:38.515636446,2026-06-25 15:04:03.708463140,new
1002,INT,2,18,16,2,0.1111111111111111,599.12,29.96,0.05,576.01,636.36,31.0,3.0,1.0,1.5,16.7,2025-02-01 00:00:00.000000000,2026-06-24 09:07:17.235766186,steady
1002,LEARN,12,1,1,0,0.0,7183.83,359.19,0.05,7183.83,7183.83,,,9.0,0.4,0.0,2026-04-12 00:00:00.000000000,2026-04-12 00:00:00.000000000,too_few
1002,TRVL,7,8,6,1,0.125,4936.35,246.82,0.05,4819.49,5212.22,67.0,13.3,3.5,1.5,15.4,2025-01-24 00:00:00.000000000,2026-05-07 00:23:55.386987311,steady
1003,FUEL,9,3,3,0,0.0,465.12,28.1,0.0604,443.39,484.07,27.5,3.7,3.0,1.5,1.8,2026-04-12 00:00:00.000000000,2026-06-07 18:07:04.708901528,new
1003,FUEL,10,17,14,3,0.17647058823529413,2458.3,122.92,0.05,2309.11,2620.89,33.0,3.0,1.5,2.2,15.4,2025-01-19 00:00:00.000000000,2026-05-04 03:02:09.399494085,steady
1003,INT,2,1,1,0,0.0,932.06,46.6,0.05,932.06,932.06,,,16.0,0.8,0.0,2025-01-19 00:00:00.000000000,2025-01-19 00:00:00.000000000,too_few
1003,MEAL,5,5,4,0,0.0,7907.41,2187.67,0.2767,4805.23,9700.02,93.0,41.5,17.0,2.2,9.7,2025-03-14 00:00:00.000000000,2026-01-02 18:40:07.619331739,moderate
1004,MEAL,3,75,63,5,0.06666666666666667,341.17,124.2,0.364,121.63,573.21,7.0,3.7,6.0,3.0,17.6,2025-01-09 00:00:00.000000000,2026-06-29 01:54:04.528120535,inconsistent
1004,MEAL,4,12,11,1,0.08333333333333333,2051.33,102.57,0.05,1973.46,2146.15,42.0,4.4,2.0,1.5,15.6,2025-02-14 00:00:00.000000000,2026-06-03 00:17:23.330627086,steady
1005,FUEL,10,19,15,4,0.21052631578947367,1539.21,600.84,0.3904,752.24,2068.67,37.0,18.5,8.0,1.5,16.7,2025-01-14 00:00:00.000000000,2026-06-06 21:42:10.704288902,inconsistent
1005,INT,2,3,2,1,0.3333333333333333,640.06,32.0,0.05,621.44,658.68,58.0,2.9,14.0,4.4,1.9,2026-04-10 00:00:00.000000000,2026-06-07 02:58:22.631218752,too_few
1005,LEARN,13,3,2,1,0.3333333333333333,12139.9,6268.98,0.5164,7911.53,16368.27,184.0,9.2,16.5,2.2,6.0,2025-09-16 05:14:56.425876336,2026-03-19 08:16:55.978328042,too_few
1005,MED,14,7,6,0,0.0,668.72,118.76,0.1776,588.12,843.2,123.0,6.2,7.0,0.7,15.5,2025-02-16 00:00:00.000000000,2026-06-03 13:40:47.642708267,moderate
1005,TRVL,8,4,4,0,0.0,26454.4,17681.07,0.6684,3332.7,43022.02,123.0,6.2,13.5,1.5,12.5,2025-02-23 00:00:00.000000000,2026-03-12 19:05:53.021729820,inconsistent
1006,FUEL,9,2,2,0,0.0,640.28,83.89,0.131,583.7,696.86,148.0,7.4,7.5,0.7,4.9,2025-06-14 00:00:00.000000000,2025-11-09 00:00:00.000000000,too_few
1006,MEAL,4,13,11,1,0.07692307692307693,1664.67,1317.48,0.7914,758.19,3274.92,37.0,12.6,12.0,3.0,13.8,2025-05-03 13:13:38.264032483,2026-06-26 20:28:54.831844582,inconsistent
1006,MED,14,7,7,0,0.0,834.21,41.71,0.05,811.36,914.03,80.0,13.3,1.0,1.5,16.3,2025-01-22 00:00:00.000000000,2026-06-02 09:55:49.630347058,steady
1006,TRVL,7,7,6,0,0.0,7265.42,363.27,0.05,7139.5,7374.92,75.0,3.8,1.0,0.7,12.1,2025-02-18 00:00:00.000000000,2026-02-20 11:30:00.070462751,steady
1007,MED,14,2,2,0,0.0,649.07,32.45,0.05,638.11,660.03,333.0,16.7,11.0,3.0,10.9,2025-05-07 00:00:00.000000000,2026-04-05 00:00:00.000000000,too_few
1007,MED,15,2,2,0,0.0,43720.67,3962.69,0.0906,41047.87,46393.47,226.0,11.3,19.5,1.0,7.4,2025-04-16 00:00:00.000000000,2025-11-28 19:02:17.664724984,too_few
1007,TRVL,8,5,4,0,0.0,17977.87,898.89,0.05,17786.85,18184.78,144.0,62.3,2.0,2.2,15.4,2025-01-06 00:00:00.000000000,2026-04-21 20:54:01.646318849,steady
1008,FUEL,9,20,19,1,0.05,690.68,184.57,0.2672,317.8,1136.64,24.0,11.1,11.0,1.5,16.6,2025-01-29 00:00:00.000000000,2026-06-18 22:31:22.708838371,moderate
1008,INT,1,18,16,2,0.1111111111111111,725.8,36.29,0.05,678.27,772.22,30.0,1.5,3.0,3.0,17.0,2025-01-19 00:00:00.000000000,2026-06-21 06:02:25.200248744,steady
1008,LEARN,11,4,3,1,0.25,1335.41,378.55,0.2835,1004.4,1590.74,178.5,80.8,1.0,1.5,11.7,2025-04-05 00:00:00.000000000,2026-03-28 13:26:30.582403114,moderate
1008,TRVL,8,5,5,0,0.0,24472.51,1282.06,0.0524,23607.77,25949.02,110.5,7.4,4.0,1.5,14.5,2025-01-13 00:00:00.000000000,2026-03-30 12:06:29.366780186,steady
1009,FUEL,9,18,15,3,0.16666666666666666,808.72,40.44,0.05,788.98,835.64,29.5,3.7,1.0,1.5,14.5,2025-02-01 00:00:00.000000000,2026-04-19 12:39:14.136065998,steady
1009,MEAL,3,76,69,6,0.07894736842105263,272.25,13.61,0.05,249.82,294.42,7.0,1.5,4.0,3.0,17.6,2025-01-07 00:00:00.000000000,2026-06-26 09:17:02.356868066,steady
1009,TRVL,6,2,1,1,0.5,273.47,13.67,0.05,273.47,273.47,,,1.0,0.0,0.0,2026-03-06 00:00:00.000000000,2026-03-06 00:00:00.000000000,too_few
1010,LEARN,12,3,3,0,0.0,10901.93,545.1,0.05,10645.72,11271.72,192.0,44.5,2.0,3.0,12.6,2025-05-19 00:00:00.000000000,2026-06-07 20:02:41.126887386,steady
1010,MEAL,3,14,10,4,0.2857142857142857,157.18,11.98,0.0762,135.49,174.97,7.0,3.0,18.0,1.5,3.0,2026-03-23 00:00:00.000000000,2026-06-22 14:30:04.318683289,steady
1010,TRVL,6,38,34,2,0.05263157894736842,625.05,180.02,0.288,401.53,800.58,14.0,1.5,5.0,1.5,17.3,2025-01-19 00:00:00.000000000,2026-06-29 11:38:56.558682784,moderate
1010,TRVL,7,1,1,0,0.0,4232.97,211.65,0.05,4232.97,4232.97,,,4.0,0.2,0.0,2026-04-19 00:00:00.000000000,2026-04-19 00:00:00.000000000,too_few
1010,TRVL,8,4,2,1,0.25,19694.5,1090.89,0.0554,18958.7,20430.29,331.0,16.6,15.5,2.2,10.9,2025-01-15 00:00:00.000000000,2025-12-12 23:37:05.056377662,too_few
1011,FUEL,9,17,13,2,0.11764705882352941,322.0,16.1,0.05,312.29,332.75,33.0,5.2,2.0,3.0,14.9,2025-03-09 16:51:36.890512221,2026-06-07 07:58:12.984576166,steady
1011,MED,14,2,2,0,0.0,594.53,29.73,0.05,583.1,605.96,283.0,14.2,7.5,0.7,9.3,2025-03-26 00:00:00.000000000,2026-01-03 00:00:00.000000000,too_few
1011,TRVL,6,39,38,1,0.02564102564102564,543.72,27.19,0.05,505.76,593.12,13.0,1.5,0.0,0.0,17.1,2025-01-14 00:00:00.000000000,2026-06-18 11:24:53.327059511,steady
1012,LEARN,12,3,3,0,0.0,7507.51,617.1,0.0822,7091.28,7959.65,195.5,12.6,6.0,1.5,12.9,2025-01-25 00:00:00.000000000,2026-02-21 07:36:25.470204446,steady
1012,MEAL,3,78,69,7,0.08974358974358974,399.84,82.39,0.2061,260.47,571.22,7.0,1.5,4.0,1.5,17.5,2025-01-07 00:00:00.000000000,2026-06-25 22:20:03.750018392,moderate
1012,TRVL,7,8,8,0,0.0,3295.94,164.8,0.05,3220.44,3345.45,74.0,3.7,0.0,0.0,16.8,2025-01-18 00:00:00.000000000,2026-06-12 05:11:19.407051725,steady
1013,FUEL,10,3,3,0,0.0,2503.26,125.16,0.05,2466.47,2841.8,32.0,1.6,19.0,1.0,2.1,2026-04-18 00:00:00.000000000,2026-06-22 18:09:02.398144631,steady
1013,TRVL,8,5,5,0,0.0,25140.83,1751.01,0.0696,9452.29,34115.72,106.0,47.4,18.0,1.5,13.6,2025-03-01 00:00:00.000000000,2026-04-19 16:47:21.636192067,steady
1014,FUEL,9,18,17,1,0.05555555555555555,446.11,22.31,0.05,414.99,463.98,30.0,3.0,3.0,1.5,16.9,2025-01-18 00:00:00.000000000,2026-06-16 13:16:01.463768544,steady
1014,INT,1,1,1,0,0.0,1316.77,65.84,0.05,1316.77,1316.77,,,16.0,0.8,0.0,2025-08-21 00:00:00.000000000,2025-08-21 00:00:00.000000000,too_few
1014,MEAL,4,2,1,1,0.5,2226.52,111.33,0.05,2226.52,2226.52,,,14.0,0.7,0.0,2026-04-18 00:00:00.000000000,2026-04-18 00:00:00.000000000,too_few
1015,FUEL,10,20,19,0,0.0,2349.27,972.3,0.4139,1076.26,3708.14,29.0,9.6,4.0,3.0,16.9,2025-01-28 00:00:00.000000000,2026-06-25 21:34:04.670032776,inconsistent
1015,LEARN,13,1,1,0,0.0,16325.33,816.27,0.05,16325.33,16325.33,,,18.0,0.9,0.0,2026-04-27 00:00:00.000000000,2026-04-27 00:00:00.000000000,too_few
1015,MED,15,1,1,0,0.0,25910.96,1295.55,0.05,25910.96,25910.96,,,19.0,1.0,0.0,2026-01-21 00:00:00.000000000,2026-01-21 00:00:00.000000000,too_few
1015,TRVL,7,7,5,2,0.2857142857142857,5465.16,273.26,0.05,5284.2,5521.75,64.0,3.2,2.0,1.5,11.2,2025-06-04 19:32:30.951996364,2026-05-13 10:52:39.470991071,steady
1016,FUEL,9,19,15,2,0.10526315789473684,924.88,304.56,0.3293,156.59,1318.14,34.5,16.3,4.0,1.5,17.1,2025-01-10 00:00:00.000000000,2026-06-16 22:49:45.292379705,inconsistent
1016,INT,1,18,18,0,0.0,1574.76,221.94,0.1409,1142.18,1841.03,30.0,4.4,4.5,2.2,16.8,2025-01-12 00:00:00.000000000,2026-06-08 05:07:31.618622743,moderate
1016,INT,2,18,13,5,0.2777777777777778,859.35,42.97,0.05,810.27,879.97,33.0,7.4,0.0,0.0,16.3,2025-01-09 00:00:00.000000000,2026-05-21 13:23:19.801962851,steady
1016,MEAL,5,6,6,0,0.0,5523.7,276.19,0.05,5335.48,5827.0,93.0,4.6,4.5,2.2,14.6,2025-04-04 00:00:00.000000000,2026-06-23 22:22:23.486763204,steady
1017,FUEL,9,19,19,0,0.0,775.03,38.75,0.05,729.09,818.65,29.0,3.7,3.0,1.5,17.2,2025-01-07 00:00:00.000000000,2026-06-15 16:04:09.272198794,steady
1017,INT,1,1,1,0,0.0,1307.42,65.37,0.05,1307.42,1307.42,,,12.0,0.6,0.0,2026-06-18 00:00:00.000000000,2026-06-18 00:00:00.000000000,too_few
1017,LEARN,11,4,4,0,0.0,537.36,26.87,0.05,525.54,573.93,110.0,13.3,4.0,0.2,10.9,2025-05-02 00:00:00.000000000,2026-03-29 00:28:46.688767029,steady
1017,LEARN,12,3,3,0,0.0,11469.44,573.47,0.05,11319.33,11682.57,169.0,14.8,2.0,0.1,11.1,2025-06-12 00:00:00.000000000,2026-05-16 17:10:58.165649892,steady
1018,FUEL,10,18,14,3,0.16666666666666666,2333.73,360.12,0.1543,1883.01,2962.59,31.0,5.9,3.0,1.5,15.1,2025-01-13 00:00:00.000000000,2026-04-19 02:59:26.996358008,moderate
1018,LEARN,11,5,5,0,0.0,1144.79,57.24,0.05,1133.57,1238.54,125.5,6.3,5.0,1.5,15.6,2025-03-08 00:00:00.000000000,2026-06-27 12:18:21.354676167,steady
1018,LEARN,12,1,1,0,0.0,5932.7,296.64,0.05,5932.7,5932.7,,,6.0,0.3,0.0,2026-04-03 00:00:00.000000000,2026-04-03 00:00:00.000000000,too_few
1018,LEARN,13,2,2,0,0.0,25619.45,4258.18,0.1662,22747.35,28491.55,264.0,13.2,5.0,3.0,8.7,2025-02-26 00:00:00.000000000,2025-11-17 22:52:56.315664008,too_few
1018,TRVL,8,4,3,1,0.25,25039.99,1252.0,0.05,24220.78,25630.51,188.0,93.4,1.0,1.5,12.4,2025-03-12 00:00:00.000000000,2026-03-24 05:31:18.001361689,steady
1019,INT,2,18,15,3,0.16666666666666666,564.66,32.97,0.0584,523.58,595.48,32.0,3.7,5.0,3.0,16.7,2025-01-16 00:00:00.000000000,2026-06-08 20:24:39.228694171,steady
1019,LEARN,12,3,1,2,0.6666666666666666,9576.25,478.81,0.05,9576.25,9576.25,,,0.0,0.0,0.0,2025-04-11 00:00:00.000000000,2025-04-11 00:00:00.000000000,too_few
1019,MEAL,5,6,6,0,0.0,5577.28,4063.17,0.7285,869.75,9833.45,76.0,23.7,12.0,0.7,14.6,2025-01-11 00:00:00.000000000,2026-04-01 02:02:42.541833943,inconsistent
1019,MED,14,6,4,0,0.0,616.48,163.41,0.2651,426.64,897.08,140.0,188.3,15.5,2.2,13.5,2025-04-02 00:00:00.000000000,2026-05-17 15:52:17.859079824,moderate
1020,FUEL,10,3,1,2,0.6666666666666666,1969.22,98.46,0.05,1969.22,1969.22,,,10.0,0.5,0.0,2026-05-25 18:25:21.563277813,2026-05-25 18:25:21.563277813,too_few
